,PRICE
PRICE,1.0
CONSTRUCTEDAREA,0.8594712099641131
BATHNUMBER,0.717568533082168
UNITPRICE,0.5877784732316197
ROOMNUMBER,0.4645705881888797
HASDOORMAN,0.348132902148474
HASLIFT,0.316819909752408
LATITUDE,0.24695045125950085
HASBOXROOM,0.22409484073927285
ISPARKINGSPACEINCLUDEDINPRICE,0.22051123339371015
HASPARKINGSPACE,0.22051123339371015
FLOORCLEAN,0.17665304312349372
CADMAXBUILDINGFLOOR,0.16520729707179763
HASAIRCONDITIONING,0.1448007894099644
HASWARDROBE,0.14468630985471811
HASSWIMMINGPOOL,0.10133367190133193
HASWESTORIENTATION,0.09604612959579036
HASSOUTHORIENTATION,0.08258223019940757
HASGARDEN,0.07013745215905304
HASTERRACE,0.06428004348451569
BUILTTYPEID_2,0.06179979132690895
ISDUPLEX,0.05906486442806823
PARKINGSPACEPRICE,0.05493346592307751
HASEASTORIENTATION,0.053078479022968646
HASNORTHORIENTATION,0.045758381688158115
ISINTOPFLOOR,0.03128537554861606
BUILTTYPEID_1,0.010084332576571561
CADDWELLINGCOUNT,-0.0007113348262817676
AMENITYID,-0.009757030907169435
DISTANCE_TO_METRO,-0.011383099226642749
LONGITUDE,-0.03554064668575613
CONSTRUCTIONYEAR,-0.056793893286676736
BUILTTYPEID_3,-0.06260933560306281
CADCONSTRUCTIONYEAR,-0.0741081515436967
ISSTUDIO,-0.07418377437174768
FLATLOCATIONID,-0.11118854931368084
DISTANCE_TO_CITY_CENTER,-0.20138887725011484
DISTANCE_TO_CASTELLANA,-0.24909161922546091
CADASTRALQUALITYID,-0.4583732976412687
